index,Target IP,Hex Anchor,Service / Process
136,198.110.137.200,c66e89c8,networkd
137,209.40.101.15,d128650f,Unknown System Process
138,119.109.255.158,776dff9e,Unknown System Process
139,14.165.126.17,0ea57e11,networkd
140,40.96.98.82,28606252,Unknown System Process
141,111.70.39.238,6f4627ee,shortcuts Extension
142,215.247.127.66,d7f77f42,Unknown System Process
143,85.238.216.75,55eed84b,CFNetwork
144,115.74.111.53,734a6f35,Weather
145,111.70.39.238,6f4627ee,CFNetwork
146,159.209.155.136,9fd19b88,CFNetwork
147,178.108.221.22,b26cdd16,CFNetwork
148,172.240.88.37,acf05825,Unknown System Process
149,185.192.120.71,b9c07847,CFNetwork
150,187.108.136.217,bb6c88d9,Siri
151,188.209.236.114,bcd1ec72,mDNSResponder
152,111.70.39.238,6f4627ee,Unknown System Process
153,188.209.236.114,bcd1ec72,CFNetwork
154,172.240.88.37,acf05825,symptomsd
155,111.70.39.238,6f4627ee,Weather
156,115.74.111.53,734a6f35,Siri
157,40.154.10.91,289a0a5b,CFNetwork
158,93.22.97.158,5d16619e,mDNSResponder
159,96.213.198.223,60d5c6df,Weather
160,47.210.110.27,2fd26e1b,shortcuts Extension
161,1.231.193.221,01e7c1dd,Siri
162,90.198.111.124,5ac66f7c,networkd
163,36.125.163.141,247da38d,Siri
164,90.198.111.124,5ac66f7c,Unknown System Process
165,36.125.163.141,247da38d,CFNetwork
166,2.24.196.196,0218c4c4,mDNSResponder
167,86.144.14.140,56900e8c,shortcuts Extension
168,93.22.97.158,5d16619e,Siri
169,50.95.119.206,325f77ce,CFNetwork
170,86.144.14.140,56900e8c,Unknown System Process
171,83.246.137.47,53f6892f,Unknown System Process
172,132.87.106.136,84576a88,CFNetwork
173,211.32.55.232,d32037e8,Unknown System Process
174,1.74.33.196,014a21c4,networkd
175,57.137.8.83,39890853,Unknown System Process
176,2.24.196.196,0218c4c4,CFNetwork
177,50.95.119.206,325f77ce,shortcuts Extension
178,159.209.155.136,9fd19b88,Unknown System Process
179,204.92.173.161,cc5cada1,CFNetwork
180,182.21.64.239,b61540ef,Unknown System Process
181,182.21.64.239,b61540ef,CFNetwork
182,111.70.39.238,6f4627ee,Siri
183,182.184.105.43,b6b8692b,networkd
184,169.212.223.122,a9d4df7a,CFNetwork
185,140.76.31.187,8c4c1fbb,Unknown System Process
186,111.70.39.238,6f4627ee,mDNSResponder
187,83.85.231.65,5355e741,networkd
188,83.85.231.65,5355e741,shortcuts Extension
189,184.42.43.222,b82a2bde,Weather
190,121.189.37.153,79bd2599,Unknown System Process
191,119.109.255.158,776dff9e,Weather
192,83.85.231.65,5355e741,Unknown System Process
193,169.178.62.204,a9b23ecc,CFNetwork
194,169.178.62.204,a9b23ecc,symptomsd
195,169.178.62.204,a9b23ecc,Unknown System Process
196,66.236.97.79,42ec614f,tipsd / quic-connec
197,66.236.97.79,42ec614f,Unknown System Process
198,35.242.224.245,23f2e0f5,CFNetwork
199,102.58.73.128,663a4980,tipsd / quic-connec
200,102.58.73.128,663a4980,Weather
201,66.236.97.79,42ec614f,Siri
202,66.236.97.79,42ec614f,symptomsd
203,66.236.97.79,42ec614f,shortcuts Extension
204,52.216.205.161,34d8cda1,Unknown System Process
205,66.236.97.79,42ec614f,CFNetwork
206,9.109.162.227,096da2e3,CFNetwork
207,52.50.49.183,343231b7,CFNetwork
208,77.210.182.5,4dd2b605,Unknown System Process
209,83.85.231.65,5355e741,cloudd
210,77.210.182.5,4dd2b605,tipsd / quic-connec
211,188.100.205.180,bc64cdb4,Unknown System Process
212,107.36.159.76,6b249f4c,Siri
213,107.36.159.76,6b249f4c,Unknown System Process
214,198.110.137.200,c66e89c8,Unknown System Process
215,95.252.108.250,5ffc6cfa,tipsd / quic-connec
216,191.80.251.130,bf50fb82,CFNetwork
217,103.178.252.38,67b2fc26,CFNetwork
218,162.81.0.73,a2510049,networkd
219,162.81.0.73,a2510049,Weather
220,83.85.231.65,5355e741,mDNSResponder
221,83.85.231.65,5355e741,Siri
222,102.58.73.128,663a4980,CFNetwork
223,143.66.166.183,8f42a6b7,shortcuts Extension
224,143.66.166.183,8f42a6b7,Unknown System Process
225,62.139.178.57,3e8bb239,Unknown System Process
226,43.84.247.165,2b54f7a5,Unknown System Process
227,58.12.173.54,3a0cad36,shortcuts Extension
228,171.108.202.225,ab6ccae1,shortcuts Extension
229,171.108.202.225,ab6ccae1,CFNetwork
230,32.12.148.74,200c944a,Unknown System Process
231,141.28.180.152,8d1cb498,CFNetwork
232,190.88.20.47,be58142f,Unknown System Process
233,103.178.252.38,67b2fc26,Weather
234,114.103.113.137,72677189,Unknown System Process
235,32.12.148.74,200c944a,CFNetwork
236,114.103.113.137,72677189,CFNetwork
237,54.82.153.151,36529997,CFNetwork
238,51.176.169.55,33b0a937,Siri
239,111.74.21.202,6f4a15ca,Unknown System Process
240,145.52.4.24,91340418,Unknown System Process
241,145.52.65.56,91344138,Unknown System Process
242,51.176.169.55,33b0a937,CFNetwork / StorageDB
243,198.110.137.200,c66e89c8,CFNetwork / StorageDB
244,51.32.69.124,3320457c,shortcuts Extension
245,191.80.251.130,bf50fb82,Unknown System Process
246,103.178.252.38,67b2fc26,Unknown System Process
247,162.81.0.73,a2510049,Unknown System Process
248,83.85.231.65,5355e741,symptomsd
249,102.58.73.128,663a4980,shortcuts Extension
250,121.4.31.175,79041faf,Siri
251,198.110.137.200,c66e89c8,Siri
252,52.50.49.183,343231b7,Unknown System Process
253,103.178.252.38,67b2fc26,Siri
254,198.110.137.200,c66e89c8,CFNetwork
255,184.42.43.222,b82a2bde,CFNetwork
256,108.129.105.169,6c8169a9,Unknown System Process
257,20.100.190.56,1464be38,CFNetwork
258,141.28.180.152,8d1cb498,Unknown System Process
259,54.82.153.151,36529997,symptomsd
260,190.88.20.47,be58142f,Weather
261,148.39.114.100,94277264,symptomsd
262,121.124.147.152,797c9398,symptomsd
263,57.102.226.106,3966e26a,mDNSResponder
264,148.39.114.130,94277282,symptomsd
265,162.5.226.48,a205e230,Unknown System Process
266,56.254.154.201,38fe9ac9,Unknown System Process
267,179.166.79.95,b3a64f5f,mDNSResponder
